Designator,Comment,Mid X(mm),Mid Y(mm),Rotation,Layer
D210,GE-3030WXXX-Q1B2D0-4,530.0,480.0,0,Top
D211,GC-3030WXXX-J2B2D0-4,40,35,0,Top
D212,GC-3030WXXX-J2B2D0-4,130,35,0,Top
D213,GC-3030WXXX-J2B2D0-4,220,35,0,Top
D214,GC-3030WXXX-J2B2D0-4,310,35,0,Top
D215,GC-3030WXXX-J2B2D0-4,400,35,0,Top
D216,GC-3030WXXX-J2B2D0-4,490,35,0,Top
D217,GC-3030WXXX-J2B2D0-4,60,130,0,Top
D218,GC-3030WXXX-J2B2D0-4,150,130,0,Top
D219,GC-3030WXXX-J2B2D0-4,240,130,0,Top
D220,GC-3030WXXX-J2B2D0-4,330,130,0,Top
D221,GC-3030WXXX-J2B2D0-4,420,130,0,Top
D222,GC-3030WXXX-J2B2D0-4,510,130,0,Top
D223,GC-3030WXXX-J2B2D0-4,40,225,0,Top
D224,GC-3030WXXX-J2B2D0-4,130,225,0,Top
D225,GC-3030WXXX-J2B2D0-4,220,225,0,Top
D226,GC-3030WXXX-J2B2D0-4,310,225,0,Top
D227,GC-3030WXXX-J2B2D0-4,400,225,0,Top
D228,GC-3030WXXX-J2B2D0-4,490,225,0,Top
D229,GC-3030WXXX-J2B2D0-4,60,320,0,Top
D230,GC-3030WXXX-J2B2D0-4,150,320,0,Top
D231,GC-3030WXXX-J2B2D0-4,240,320,0,Top
D232,GC-3030WXXX-J2B2D0-4,330,320,0,Top
D233,GC-3030WXXX-J2B2D0-4,420,320,0,Top
D234,GC-3030WXXX-J2B2D0-4,510,320,0,Top
D235,GC-3030WXXX-J2B2D0-4,40,415,0,Top
D236,GC-3030WXXX-J2B2D0-4,130,415,0,Top
D237,GC-3030WXXX-J2B2D0-4,220,415,0,Top
D238,GC-3030WXXX-J2B2D0-4,310,415,0,Top
D239,GC-3030WXXX-J2B2D0-4,400,415,0,Top
D240,GC-3030WXXX-J2B2D0-4,490,415,0,Top
D241,GC-3030WXXX-J2B2D0-4,60,480,0,Top
D242,GC-3030WXXX-J2B2D0-4,150,460,0,Top
D243,GC-3030WXXX-J2B2D0-4,240,440,0,Top
D244,GC-3030WXXX-J2B2D0-4,330,420,0,Top
D245,GC-3030WXXX-J2B2D0-4,420,400,0,Top
