ref,x_mm,y_mm,rotation_deg,package,logical_channel,physical_output,channel_short,part_number
D230,150,320,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D231,240,320,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D232,330,320,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D233,420,320,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D234,510,320,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D235,40,415,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D236,130,415,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D237,220,415,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D238,310,415,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D239,400,415,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D240,490,415,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D241,60,480,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D242,150,460,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D243,240,440,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D244,330,420,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D245,420,400,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D246,510,480,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D247,40,460,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D248,130,440,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D249,220,420,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D250,310,400,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D251,400,480,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D252,490,460,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D253,40,45,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D254,130,45,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D255,220,45,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D256,310,45,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D257,400,45,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D258,490,45,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D259,60,140,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D260,150,140,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D261,240,140,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D262,330,140,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D263,420,140,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D264,510,140,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D265,40,235,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D266,130,235,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D267,220,235,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D268,310,235,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D269,400,235,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D270,490,235,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D271,60,330,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D272,150,330,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D273,240,330,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D274,330,330,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D275,420,330,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D276,510,330,0,3535,Blue 450 nm,CH3,B450,GT-3535B450-S1D0
D277,40,35,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D278,130,35,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D279,220,35,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D280,310,35,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D281,400,35,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D282,490,35,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D283,60,130,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D284,150,130,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D285,240,130,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D286,330,130,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D287,420,130,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D288,510,130,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D289,40,225,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D290,130,225,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D291,220,225,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D292,310,225,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D293,400,225,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
